class_id	label_name	tax_id
384	Bacillus circulans	1397
385	Bacillus coagulans	1398
386	Bacillus firmus	1399
387	Paenibacillus lautus	1401
388	Bacillus licheniformis	1402
389	Bacillus megaterium	1404
390	Bacillus mycoides	1405
391	Paenibacillus polymyxa	1406
392	Bacillus pumilus	1408
393	Bacillus sp. (in: Bacteria)	1409
394	Lysinibacillus sphaericus	1421
395	Geobacillus stearothermophilus	1422
396	Bacillus subtilis	1423
397	Parageobacillus thermoglucosidasius	1426
398	Bacillus thuringiensis	1428
399	Bacillus alcalophilus	1445
400	Alicyclobacillus acidoterrestris	1450
401	Bacillus atrophaeus	1452
402	Bacillus azotoformans	1454
403	Bacillus badius	1455
404	Bacillus benzoevorans	1456
405	Alicyclobacillus cycloheptanicus	1457
406	Bacillus fastidiosus	1458
407	Sporosarcina globispora	1459
408	Geobacillus kaustophilus	1462
409	Paenibacillus larvae	1464
410	Brevibacillus laterosporus	1465
411	Bacillus lentus	1467
412	Bacillus methanolicus	1471
413	Paenibacillus pabuli	1472
414	Virgibacillus pantothenticus	1473
415	Sporosarcina psychrophila	1476
416	Bacillus simplex	1478
417	Bacillus smithii	1479
418	Virgibacillus halodenitrificans	1482
419	Hydrogenibacillus schlegelii	1484
420	Clostridium acetobutylicum	1488
421	Paraclostridium bifermentans	1490
422	Clostridium botulinum	1491
423	Clostridium butyricum	1492
424	Clostridium cochlearium	1494
425	Clostridioides difficile	1496
426	Clostridium formicaceticum	1497
427	Hathewaya histolytica	1498
428	Clostridium pasteurianum	1501
429	Clostridium perfringens	1502
430	Gottschalkia purinilytica	1503
431	Clostridium septicum	1504
432	Clostridium sp.	1506
433	Clostridium sp. ATCC 29733	1507
434	Clostridium sporogenes	1509
435	Thermoclostridium stercorarium	1510
436	Acetoanaerobium sticklandii	1511
437	[Clostridium] symbiosum	1512
438	Clostridium tetani	1513
439	Hungateiclostridium thermocellum	1515
440	Thermoanaerobacter thermohydrosulfuricus	1516
441	Thermoanaerobacterium thermosaccharolyticum	1517
442	Clostridium tyrobutyricum	1519
443	Clostridium beijerinckii	1520
444	[Clostridium] innocuum	1522
445	Moorella thermoacetica	1525
446	Anaerocolumna aminovalerica	1527
447	Eubacterium barkeri	1528
448	[Clostridium] clostridioforme	1531
449	Blautia coccoides	1532
450	Clostridium fallax	1533
451	Clostridium kluyveri	1534
452	Hathewaya limosa	1536
453	Clostridium ljungdahlii	1538
454	Clostridium malenominatum	1539
455	Clostridioides mangenotii	1540
456	Terrisporobacter mayombei	1541
457	Clostridium novyi	1542
458	Clostridium oceanicum	1543
459	Faecalicatena orotica	1544
460	Erysipelatoclostridium ramosum	1547
461	Clostridium scatologenes	1548
462	Clostridium subterminale	1550
463	Clostridium tetanomorphum	1553
464	Clostridium tertium	1559
465	Clostridium baratii	1561
466	Desulfotomaculum ruminis	1564
467	Halobacillus halophilus	1570
468	Sporosarcina ureae	1571
469	Lactobacillus acidophilus	1579
470	Lactobacillus brevis	1580
471	Lactobacillus buchneri	1581
472	Lactobacillus casei	1582
473	Lactobacillus delbrueckii	1584
474	Lactobacillus helveticus	1587
475	Lactobacillus hilgardii	1588
476	Lactobacillus pentosus	1589
477	Lactobacillus plantarum	1590
478	Lactobacillus gasseri	1596
479	Lactobacillus paracasei	1597
480	Lactobacillus reuteri	1598
481	Lactobacillus sakei	1599
482	Lactobacillus acetotolerans	1600
483	Lactobacillus agilis	1601
484	Lactobacillus alimentarius	1602
485	Lactobacillus amylophilus	1603
486	Lactobacillus amylovorus	1604
487	Lactobacillus animalis	1605
488	Lactobacillus aviarius	1606
489	Lactobacillus bifermentans	1607
490	Lactobacillus coryniformis	1610
491	Lactobacillus farciminis	1612
492	Lactobacillus fermentum	1613
493	Lactobacillus fructivorans	1614
494	Weissella kandleri	1616
495	Lactobacillus mali	1618
496	Weissella minor	1620
497	Lactobacillus murinus	1622
498	Lactobacillus ruminis	1623
499	Lactobacillus salivarius	1624
500	Lactobacillus sanfranciscensis	1625
501	Weissella viridescens	1629
502	Kandleria vitulina	1630
503	Fructobacillus fructosus	1631
504	Lactobacillus oris	1632
505	Lactobacillus vaginalis	1633
506	Listeria monocytogenes	1639
507	Listeria grayi	1641
508	Listeria innocua	1642
509	Listeria welshimeri	1643
510	Renibacterium salmoninarum	1646
511	Erysipelothrix rhusiopathiae	1648
512	Kurthia zopfii	1650
