class_id	label_name	tax_id
281	Selenomonas ruminantium	971
282	Cellulophaga lytica	979
283	Persicobacter diffluens	981
284	Flavobacterium flevense	983
285	Pedobacter heparinus	984
286	Flavobacterium johnsoniae	986
287	Leeuwenhoekiella marinoflava	988
288	Marinilabilia salmonicolor	989
289	Cytophaga xylanolytica	990
290	Flavobacterium hydatis	991
291	Flavobacterium columnare	996
292	Thermoflexibacter ruber	1003
293	Chitinophaga sancti	1004
294	Marivirga tractuosa	1006
295	Saprospira grandis	1008
296	Weeksella virosa	1014
297	Bergeyella zoohelcum	1015
298	Capnocytophaga gingivalis	1017
299	Capnocytophaga ochracea	1018
300	Capnocytophaga sputigena	1019
301	Marivirga sericea	1028
302	Marichromatium gracile	1048
303	Allochromatium vinosum	1049
304	Halorhodospira halochloris	1052
305	Halorhodospira halophila	1053
306	Ectothiorhodospira shaposhnikovii	1054
307	Thiococcus pfennigii	1057
308	Rhodobacter capsulatus	1061
309	Rhodobacter sphaeroides	1063
310	Rhodocyclus tenuis	1066
311	Rhodomicrobium vannielii	1069
312	Rhodopila globiformis	1071
313	Rhodoblastus acidophilus	1074
314	Rhodobacter blasticus	1075
315	Rhodopseudomonas palustris	1076
316	Blastochloris viridis	1079
317	Rhodospirillum rubrum	1085
318	Rhodothalassium salexigens	1086
319	Rhodovibrio salinarum	1087
320	Rhodovibrio sodomensis	1088
321	Chlorobium limicola	1092
322	Chlorobium phaeovibrioides	1094
323	Pelodictyon luteolum	1100
324	Chloroflexus aurantiacus	1108
325	Porphyrobacter neustonensis	1112
326	Microcystis aeruginosa	1126
327	Synechocystis sp. PCC 6714	1147
328	Synechocystis sp. PCC 6803	1148
329	Planktothrix agardhii	1160
330	Prochlorococcus marinus	1219
331	Prochlorothrix hollandica	1223
332	Nitrosococcus oceani	1229
333	Nitrosospira multiformis	1231
334	Piscirickettsia salmonis	1238
335	Leuconostoc gelidum	1244
336	Leuconostoc mesenteroides	1245
337	Leuconostoc lactis	1246
338	Oenococcus oeni	1247
339	Weissella paramesenteroides	1249
340	Leuconostoc fallax	1251
341	Pediococcus acidilactici	1254
342	Pediococcus pentosaceus	1255
343	Peptoniphilus asaccharolyticus	1258
344	Finegoldia magna	1260
345	Peptostreptococcus anaerobius	1261
346	Ruminococcus albus	1264
347	Ruminococcus flavefaciens	1265
348	Clostridium ventriculi	1267
349	Micrococcus luteus	1270
350	Kocuria varians	1272
351	Micrococcus lylae	1273
352	Kytococcus sedentarius	1276
353	Staphylococcus aureus	1280
354	Staphylococcus epidermidis	1282
355	Staphylococcus intermedius	1285
356	Staphylococcus sciuri	1296
357	Deinococcus radiodurans	1299
358	Streptococcus gordonii	1302
359	Streptococcus oralis	1303
360	Streptococcus salivarius	1304
361	Streptococcus suis	1307
362	Streptococcus thermophilus	1308
363	Streptococcus mutans	1309
364	Streptococcus sobrinus	1310
365	Streptococcus agalactiae	1311
366	Streptococcus pneumoniae	1313
367	Streptococcus pyogenes	1314
368	Streptococcus parasanguinis	1318
369	Faecalicoccus pleomorphus	1323
370	Streptococcus acidominimus	1326
371	Streptococcus anginosus	1328
372	Streptococcus criceti	1333
373	Streptococcus dysgalactiae	1334
374	Streptococcus equinus	1335
375	Streptococcus equi	1336
376	Streptococcus intermedius	1338
377	Streptococcus vestibularis	1343
378	Streptococcus ferus	1345
379	Enterococcus faecalis	1351
380	Enterococcus faecium	1352
381	Enterococcus hirae	1354
382	Lactococcus lactis	1358
383	Lactococcus garvieae	1363
384	Lactococcus piscium	1364
385	Lactococcus plantarum	1365
386	Lactococcus raffinolactis	1366
387	Marinococcus halophilus	1371
388	Planococcus kocurii	1374
389	Aerococcus urinae	1376
390	Aerococcus viridans	1377
391	Gemella haemolysans	1379
392	Atopobium minutum	1381
393	Atopobium parvulum	1382
394	Atopobium rimae	1383
395	Aneurinibacillus aneurinilyticus	1391
396	Bacillus anthracis	1392
397	Brevibacillus brevis	1393
398	Bacillus cereus	1396
399	Bacillus circulans	1397
400	Bacillus coagulans	1398
401	Bacillus firmus	1399
402	Paenibacillus lautus	1401
403	Bacillus licheniformis	1402
404	Bacillus megaterium	1404
405	Bacillus mycoides	1405
406	Paenibacillus polymyxa	1406
407	Bacillus pumilus	1408
408	Bacillus sp. (in: Bacteria)	1409
409	Lysinibacillus sphaericus	1421
410	Geobacillus stearothermophilus	1422
411	Bacillus subtilis	1423
412	Parageobacillus thermoglucosidasius	1426
413	Bacillus thuringiensis	1428
414	Bacillus alcalophilus	1445
415	Alicyclobacillus acidoterrestris	1450
416	Bacillus atrophaeus	1452
417	Bacillus azotoformans	1454
418	Bacillus badius	1455
419	Bacillus benzoevorans	1456
420	Alicyclobacillus cycloheptanicus	1457
421	Bacillus fastidiosus	1458
422	Sporosarcina globispora	1459
423	Geobacillus kaustophilus	1462
424	Paenibacillus larvae	1464
425	Brevibacillus laterosporus	1465
426	Bacillus lentus	1467
427	Bacillus methanolicus	1471
428	Paenibacillus pabuli	1472
429	Virgibacillus pantothenticus	1473
430	Sporosarcina psychrophila	1476
431	Bacillus simplex	1478
432	Bacillus smithii	1479
433	Virgibacillus halodenitrificans	1482
434	Hydrogenibacillus schlegelii	1484
435	Clostridium acetobutylicum	1488
436	Paraclostridium bifermentans	1490
437	Clostridium botulinum	1491
438	Clostridium butyricum	1492
439	Clostridium cochlearium	1494
440	Clostridioides difficile	1496
441	Clostridium formicaceticum	1497
442	Hathewaya histolytica	1498
443	Clostridium pasteurianum	1501
444	Clostridium perfringens	1502
445	Gottschalkia purinilytica	1503
446	Clostridium septicum	1504
447	Clostridium sp.	1506
448	Clostridium sp. ATCC 29733	1507
449	Clostridium sporogenes	1509
450	Thermoclostridium stercorarium	1510
451	Acetoanaerobium sticklandii	1511
452	[Clostridium] symbiosum	1512
453	Clostridium tetani	1513
454	Hungateiclostridium thermocellum	1515
455	Thermoanaerobacter thermohydrosulfuricus	1516
456	Thermoanaerobacterium thermosaccharolyticum	1517
457	Clostridium tyrobutyricum	1519
458	Clostridium beijerinckii	1520
459	[Clostridium] innocuum	1522
460	Moorella thermoacetica	1525
461	Anaerocolumna aminovalerica	1527
462	Eubacterium barkeri	1528
463	[Clostridium] clostridioforme	1531
464	Blautia coccoides	1532
465	Clostridium fallax	1533
466	Clostridium kluyveri	1534
467	Hathewaya limosa	1536
468	Clostridium ljungdahlii	1538
469	Clostridium malenominatum	1539
470	Clostridioides mangenotii	1540
471	Terrisporobacter mayombei	1541
472	Clostridium novyi	1542
473	Clostridium oceanicum	1543
474	Faecalicatena orotica	1544
475	Erysipelatoclostridium ramosum	1547
476	Clostridium scatologenes	1548
477	Clostridium subterminale	1550
478	Clostridium tetanomorphum	1553
479	Clostridium tertium	1559
480	Clostridium baratii	1561
481	Desulfotomaculum ruminis	1564
482	Halobacillus halophilus	1570
483	Sporosarcina ureae	1571
484	Lactobacillus acidophilus	1579
485	Lactobacillus brevis	1580
486	Lactobacillus buchneri	1581
487	Lactobacillus casei	1582
488	Lactobacillus delbrueckii	1584
489	Lactobacillus helveticus	1587
490	Lactobacillus hilgardii	1588
491	Lactobacillus pentosus	1589
492	Lactobacillus plantarum	1590
493	Lactobacillus gasseri	1596
494	Lactobacillus paracasei	1597
495	Lactobacillus reuteri	1598
496	Lactobacillus sakei	1599
